categories,description,height,length,name,price,sku,stock,tags,weight,width
"fire horse,pokemon",Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,3,3,Ponyta,53.0,3629,41,"fire horse,ponyta,run away",66.1,3
"megaton,pokemon","Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",4,4,Golem,103.0,1408,151,"golem,megaton,rock head",661.4,4
"pokemon,rock","Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",3,3,Graveler,182.0,4748,86,"graveler,rock,rock head",231.5,3
"pokemon,rock","When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",1,1,Geodude,32.0,1650,77,"geodude,rock,rock head",44.1,1
"jellyfish,pokemon",Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,5,5,Tentacruel,65.0,1723,175,"clear body,jellyfish,tentacruel",121.3,5
"jellyfish,pokemon",Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,2,2,Tentacool,186.0,1506,66,"clear body,jellyfish,tentacool",100.3,2
"flycatcher,pokemon","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",5,5,Victreebel,68.0,2187,119,"chlorophyll,flycatcher,victreebel",34.2,5
"flycatcher,pokemon","Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",3,3,Weepinbell,26.0,5253,46,"chlorophyll,flycatcher,weepinbell",14.1,3
"flower,pokemon","Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",2,2,Bellsprout,74.0,7454,257,"bellsprout,chlorophyll,flower",8.8,2
"pokemon,superpower","Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",5,5,Machamp,121.0,2857,242,"guts,machamp,superpower",286.6,5
"pokemon,superpower","Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",4,4,Machoke,27.0,9503,10,"guts,machoke,superpower",155.4,4
"pokemon,river crab","Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",1,1,Krabby,64.0,2333,147,"krabby,river crab,shell armor",14.3,1
"hypnosis,pokemon","Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",5,5,Hypno,198.0,2634,222,"hypno,hypnosis,insomnia",166.7,5
"hypnosis,pokemon","If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",3,3,Drowzee,40.0,9437,253,"drowzee,hypnosis,insomnia",71.4,3
"pokemon,rock snake","Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",28,28,Onix,37.0,2221,286,"onix,rock head,rock snake",463.0,28
"pokemon,shadow","Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",4,4,Gengar,149.0,6267,159,"gengar,levitate,shadow",89.3,4
"gas,pokemon","Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",5,5,Haunter,42.0,7532,181,"gas,haunter,levitate",0.2,5
"gas,pokemon","Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",4,4,Gastly,179.0,6873,151,"gas,gastly,levitate",0.2,4
"bivalve,pokemon","Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",4,4,Cloyster,199.0,5736,39,"bivalve,cloyster,shell armor",292.1,4
"bivalve,pokemon","At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",1,1,Shellder,138.0,4653,23,"bivalve,shell armor,shellder",8.8,1
"pokemon,sludge","This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",3,3,Muk,187.0,9514,220,"muk,sludge,stench",66.1,3
"pokemon,sludge",Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,2,2,Grimer,147.0,3031,201,"grimer,sludge,stench",66.1,2
"pokemon,sea lion",Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,5,5,Dewgong,70.0,9375,62,"dewgong,sea lion,thick fat",264.6,5
"pokemon,sea lion","Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",3,3,Seel,164.0,2302,250,"sea lion,seel,thick fat",198.4,3
"pokemon,triple bird","Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",5,5,Dodrio,138.0,4038,118,"dodrio,run away,triple bird",187.8,5
"pokemon,twin bird","Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",4,4,Doduo,73.0,8303,227,"doduo,run away,twin bird",86.4,4
"pokemon,wild duck","Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",2,2,Farfetchd,185.0,3808,158,"farfetchd,keen eye,wild duck",33.1,2
"pokemon,vine","Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",3,3,Tangela,64.0,3530,91,"chlorophyll,tangela,vine",77.2,3
"egg,pokemon","Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",3,3,Chansey,176.0,8548,151,"chansey,egg,natural cure",76.3,3
"drill,pokemon","Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.",6,6,Rhydon,27.0,4900,73,"drill,rhydon,rock head",264.6,6
"pokemon,spikes","Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",3,3,Rhyhorn,124.0,8574,138,"rhyhorn,rock head,spikes",253.5,3
"poison gas,pokemon","Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.",3,3,Weezing,48.0,8429,117,"levitate,poison gas,weezing",20.9,3
"poison gas,pokemon","Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.",2,2,Koffing,38.0,3303,110,"koffing,levitate,poison gas",2.2,2
"licking,pokemon","Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",3,3,Lickitung,142.0,5903,291,"licking,lickitung,oblivious",144.4,3
"pokemon,punching",Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,4,4,Hitmonchan,91.0,3499,163,"hitmonchan,keen eye,punching",110.7,4
"kicking,pokemon","Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",4,4,Hitmonlee,73.0,6833,269,"hitmonlee,kicking,limber",109.8,4
"bone keeper,pokemon",Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,3,3,Marowak,36.0,8681,295,"bone keeper,marowak,rock head",99.2,3
"lonely,pokemon","Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",1,1,Cubone,177.0,3170,242,"cubone,lonely,rock head",14.3,1
"coconut,pokemon","Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",6,6,Exeggutor,68.0,8250,292,"chlorophyll,coconut,exeggutor",264.6,6
"egg,pokemon","This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",1,1,Exeggcute,126.0,2494,144,"chlorophyll,egg,exeggcute",5.5,1
"ball,pokemon",One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,3,3,Electrode,100.0,1042,230,"ball,electrode,static",146.8,3
"ball,pokemon",Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,1,1,Voltorb,189.0,9522,245,"ball,static,voltorb",22.9,1
"pincer,pokemon","Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",4,4,Kingler,72.0,1454,271,"kingler,pincer,shell armor",132.3,4
"atrocious,pokemon","Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.",21,21,Gyarados,79.0,9629,100,"atrocious,gyarados,intimidate",518.1,21
"fish,pokemon","Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.",2,2,Magikarp,43.0,6706,126,"fish,magikarp,swift swim",22.0,2
"pokemon,wild bull","This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",4,4,Tauros,63.0,2149,298,"intimidate,tauros,wild bull",194.9,4
"pokemon,stag beetle","Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape.",4,4,Pinsir,141.0,2091,29,"hyper cutter,pinsir,stag beetle",121.3,4
"pokemon,spitfire","In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.",4,4,Magmar,130.0,8655,16,"flame body,magmar,spitfire",98.1,4
"electric,pokemon","When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",3,3,Electabuzz,125.0,7699,63,"electabuzz,electric,static",66.1,3
"human shape,pokemon","Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",4,4,Jynx,138.0,1615,197,"human shape,jynx,oblivious",89.5,4
"mantis,pokemon","Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke.",4,4,Scyther,85.0,5181,139,"mantis,scyther,swarm",123.5,4
"barrier,pokemon","Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.",4,4,Mr-mime,144.0,9469,105,"barrier,mr-mime,soundproof",120.1,4
