name,price,description,stock,sku,categories,tags,weight,length,width,height
Paras,168.00,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,,9691,"Mushroom,Pokemon","Effect Spore,Mushroom,paras","11,9",1,1,1
Vileplume,170.00,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",,5295,"Flower,Pokemon","Chlorophyll,Flower,vileplume",41,3,3,3
Gloom,178.00,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",,7374,"Pokemon,Weed","Chlorophyll,gloom,Weed",19,2,2,2
Oddish,45.00,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",,8337,"Pokemon,Weed","Chlorophyll,oddish,Weed","11,9",1,1,1
Golbat,136.00,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",,5941,"Bat,Pokemon","Bat,golbat,Inner Focus","121,3",5,5,5
Zubat,125.00,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",,2584,"Bat,Pokemon","Bat,Inner Focus,zubat","16,5",2,2,2
Wigglytuff,130.00,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",,2733,"Balloon,Pokemon","Balloon,Cute Charm,wigglytuff","26,5",3,3,3
Jigglypuff,61.00,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",,9180,"Balloon,Pokemon","Balloon,Cute Charm,jigglypuff","12,1",1,1,1
Ninetales,52.00,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,,5173,"Fox,Pokemon","Flash Fire,Fox,ninetales","43,9",3,3,3
Vulpix,85.00,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",,1440,"Fox,Pokemon","Flash Fire,Fox,vulpix","21,8",2,2,2
Clefable,188.00,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",,9786,"Fairy,Pokemon","clefable,Cute Charm,Fairy","88,2",4,4,4
Clefairy,160.00,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",,3259,"Fairy,Pokemon","clefairy,Cute Charm,Fairy","16,5",2,2,2
Machop,166.00,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,,9506,"Pokemon,Superpower","Guts,machop,Superpower",43,2,2,2
Alakazam,40.00,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",,7975,"Pokemon,Psi","alakazam,Inner Focus,Psi","105,8",4,4,4
Kadabra,129.00,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",,9040,"Pokemon,Psi","Inner Focus,kadabra,Psi","124,6",4,4,4
Abra,141.00,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",,3845,"Pokemon,Psi","abra,Inner Focus,Psi",43,2,2,2
Poliwhirl,121.00,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",,4447,"Pokemon,Tadpole","Damp,poliwhirl,Tadpole","44,1",3,3,3
Poliwrath,152.00,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",,1848,"Pokemon,Tadpole","Damp,poliwrath,Tadpole",119,4,4,4
Poliwag,174.00,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",,6402,"Pokemon,Tadpole","Damp,poliwag,Tadpole","27,3",2,2,2
Arcanine,69.00,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",,9267,"Legendary,Pokemon","arcanine,Intimidate,Legendary","341,7",6,6,6
Growlithe,30.00,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",,1749,"Pokemon,Puppy","growlithe,Intimidate,Puppy","41,9",2,2,2
Primeape,86.00,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",,3052,"Pig Monkey,Pokemon","Pig Monkey,primeape,Vital Spirit","70,5",3,3,3
Mankey,125.00,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",,5180,"Pig Monkey,Pokemon","mankey,Pig Monkey,Vital Spirit","61,7",1,1,1
Golduck,31.00,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",,8764,"Duck,Pokemon","Damp,Duck,golduck","168,9",5,5,5
Psyduck,182.00,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",,6470,"Duck,Pokemon","Damp,Duck,psyduck","43,2",2,2,2
Meowth,131.00,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",,9594,"Pokemon,Scratch Cat","meowth,Pickup,Scratch Cat","9,3",1,1,1
Persian,200.00,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,,3752,"Classy Cat,Pokemon","Classy Cat,persian,Technician","70,5",3,3,3
Dugtrio,111.00,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",,7897,"Mole,Pokemon","dugtrio,Mole,Sand Veil","73,4",2,2,2
Magnemite,100.00,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,,1688,"Magnet,Pokemon","magnemite,Magnet,Sturdy","13,2",1,1,1
Magneton,191.00,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",,5934,"Magnet,Pokemon","Magnet,magneton,Sturdy","132,3",3,3,3
Slowbro,179.00,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",,3864,"Hermit Crab,Pokemon","Hermit Crab,Oblivious,slowbro","173,1",5,5,5
Slowpoke,109.00,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",,2145,"Dopey,Pokemon","Dopey,Oblivious,slowpoke","79,4",3,3,3
Rapidash,98.00,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",,3414,"Fire Horse,Pokemon","Fire Horse,rapidash,Run Away","209,4",5,5,5
Ponyta,53.00,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,,3629,"Fire Horse,Pokemon","Fire Horse,ponyta,Run Away","66,1",3,3,3
Golem,103.00,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",,1408,"Megaton,Pokemon","golem,Megaton,Rock Head","661,4",4,4,4
Geodude,32.00,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",,1650,"Pokemon,Rock","geodude,Rock,Rock Head","44,1",1,1,1
Graveler,182.00,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",,4748,"Pokemon,Rock","graveler,Rock,Rock Head","231,5",3,3,3
Tentacruel,65.00,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,,1723,"Jellyfish,Pokemon","Clear Body,Jellyfish,tentacruel","121,3",5,5,5
Tentacool,186.00,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,,1506,"Jellyfish,Pokemon","Clear Body,Jellyfish,tentacool","100,3",2,2,2
Victreebel,68.00,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",,2187,"Flycatcher,Pokemon","Chlorophyll,Flycatcher,victreebel","34,2",5,5,5
Weepinbell,26.00,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",,5253,"Flycatcher,Pokemon","Chlorophyll,Flycatcher,weepinbell","14,1",3,3,3
Bellsprout,74.00,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",,7454,"Flower,Pokemon","bellsprout,Chlorophyll,Flower","8,8",2,2,2
Machamp,121.00,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",,2857,"Pokemon,Superpower","Guts,machamp,Superpower","286,6",5,5,5
Machoke,27.00,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",,9503,"Pokemon,Superpower","Guts,machoke,Superpower","155,4",4,4,4
Krabby,64.00,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",,2333,"Pokemon,River Crab","krabby,River Crab,Shell Armor","14,3",1,1,1
Hypno,198.00,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",,2634,"Hypnosis,Pokemon","hypno,Hypnosis,Insomnia","166,7",5,5,5
Drowzee,40.00,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",,9437,"Hypnosis,Pokemon","drowzee,Hypnosis,Insomnia","71,4",3,3,3
Onix,37.00,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",,2221,"Pokemon,Rock Snake","onix,Rock Head,Rock Snake",463,28,28,28
Gengar,149.00,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",,6267,"Pokemon,Shadow","gengar,Levitate,Shadow","89,3",4,4,4
Haunter,42.00,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",,7532,"Gas,Pokemon","Gas,haunter,Levitate","0,2",5,5,5
Gastly,179.00,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",,6873,"Gas,Pokemon","Gas,gastly,Levitate","0,2",4,4,4
Cloyster,199.00,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",,5736,"Bivalve,Pokemon","Bivalve,cloyster,Shell Armor","292,1",4,4,4
Shellder,138.00,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",,4653,"Bivalve,Pokemon","Bivalve,Shell Armor,shellder","8,8",1,1,1
Muk,187.00,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",,9514,"Pokemon,Sludge","muk,Sludge,Stench","66,1",3,3,3
Grimer,147.00,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,,3031,"Pokemon,Sludge","grimer,Sludge,Stench","66,1",2,2,2
Dewgong,70.00,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,,9375,"Pokemon,Sea Lion","dewgong,Sea Lion,Thick Fat","264,6",5,5,5
Seel,164.00,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",,2302,"Pokemon,Sea Lion","Sea Lion,seel,Thick Fat","198,4",3,3,3
Dodrio,138.00,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",,4038,"Pokemon,Triple Bird","dodrio,Run Away,Triple Bird","187,8",5,5,5
Doduo,73.00,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",,8303,"Pokemon,Twin Bird","doduo,Run Away,Twin Bird","86,4",4,4,4
Farfetchd,185.00,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",,3808,"Pokemon,Wild Duck","farfetchd,Keen Eye,Wild Duck","33,1",2,2,2
Tangela,64.00,"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",,3530,"Pokemon,Vine","Chlorophyll,tangela,Vine","77,2",3,3,3
Chansey,176.00,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",,8548,"Egg,Pokemon","chansey,Egg,Natural Cure","76,3",3,3,3
Rhydon,27.00,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.",,4900,"Drill,Pokemon","Drill,rhydon,Rock Head","264,6",6,6,6
Rhyhorn,124.00,"Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",,8574,"Pokemon,Spikes","rhyhorn,Rock Head,Spikes","253,5",3,3,3
Weezing,48.00,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.",,8429,"Poison Gas,Pokemon","Levitate,Poison Gas,weezing","20,9",3,3,3
Koffing,38.00,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.",,3303,"Poison Gas,Pokemon","koffing,Levitate,Poison Gas","2,2",2,2,2
Lickitung,142.00,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",,5903,"Licking,Pokemon","Licking,lickitung,Oblivious","144,4",3,3,3
Hitmonchan,91.00,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,,3499,"Pokemon,Punching","hitmonchan,Keen Eye,Punching","110,7",4,4,4
Hitmonlee,73.00,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",,6833,"Kicking,Pokemon","hitmonlee,Kicking,Limber","109,8",4,4,4
Marowak,36.00,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,,8681,"Bone Keeper,Pokemon","Bone Keeper,marowak,Rock Head","99,2",3,3,3
Cubone,177.00,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",,3170,"Lonely,Pokemon","cubone,Lonely,Rock Head","14,3",1,1,1
Exeggutor,68.00,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",,8250,"Coconut,Pokemon","Chlorophyll,Coconut,exeggutor","264,6",6,6,6
Exeggcute,126.00,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",,2494,"Egg,Pokemon","Chlorophyll,Egg,exeggcute","5,5",1,1,1
Electrode,100.00,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,,1042,"Ball,Pokemon","Ball,electrode,Static","146,8",3,3,3
Voltorb,189.00,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,,9522,"Ball,Pokemon","Ball,Static,voltorb","22,9",1,1,1
Kingler,72.00,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",,1454,"Pincer,Pokemon","kingler,Pincer,Shell Armor","132,3",4,4,4
Gyarados,79.00,"Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.",,9629,"Atrocious,Pokemon","Atrocious,gyarados,Intimidate","518,1",21,21,21
Magikarp,43.00,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.",,6706,"Fish,Pokemon","Fish,magikarp,Swift Swim",22,2,2,2
Tauros,63.00,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",,2149,"Pokemon,Wild Bull","Intimidate,tauros,Wild Bull","194,9",4,4,4
Magmar,130.00,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.",,8655,"Pokemon,Spitfire","Flame Body,magmar,Spitfire","98,1",4,4,4
Pinsir,141.00,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape.",,2091,"Pokemon,Stag Beetle","Hyper Cutter,pinsir,Stag Beetle","121,3",4,4,4
Electabuzz,125.00,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",,7699,"Electric,Pokemon","electabuzz,Electric,Static","66,1",3,3,3
Jynx,138.00,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",,1615,"Human Shape,Pokemon","Human Shape,jynx,Oblivious","89,5",4,4,4
